index,Area,Age-Adjusted Rate,Death Count,Population,Raw Mortality Rate,MR per State
51,CA,18.7,4527,19829085,22.830100329894194,0.03000013183954559
49,TX,20.0,3145,14591903,21.553048975174793,0.037548865810409046
48,NY,18.2,2491,10012065,24.87998230135342,0.045236331457006215
50,FL,19.1,3155,10987074,28.71556157717696,0.04572541652416713
46,IL,20.7,1758,6443120,27.28491786587864,0.08144751601754818
47,PA,19.5,1879,6526489,28.790364926685697,0.0839369239845064
42,GA,20.1,1302,5462335,23.83596026241525,0.08605039805926082
45,OH,21.1,1744,5962634,29.24881855904622,0.08783428996710577
43,NC,19.2,1355,5393755,25.12164531017816,0.09304313077843762
44,MI,19.9,1389,5066743,27.414060669743858,0.10115889546030944
27,MN,17.3,650,2830663,22.962818251413186,0.10934675357815803
30,WI,17.6,695,2925732,23.7547389849788,0.11048715806966884
41,NJ,20.0,1253,4545698,27.564523644113624,0.1115972617170592
40,VA,19.9,1111,4345858,25.56457205918831,0.12470522955701616
33,MA,15.3,758,3548380,21.36186090553999,0.13781845745509672
36,IN,19.3,847,3411571,24.82727165871676,0.13869984166880872
37,AZ,18.3,900,3669041,24.52957053355359,0.1434477808979742
39,TN,20.6,968,3498429,27.669562537927735,0.1441123048850403
26,CO,17.6,605,2857610,21.17153845346286,0.15341694531494826
38,WA,19.3,916,3802546,24.089123445186463,0.16167196943078163
35,MO,19.1,810,3127846,25.89641561636986,0.16287053846773497
18,IA,18.1,396,1586636,24.9584655837886,0.17212734885371447
34,MD,19.3,789,3122480,25.26837641874408,0.19142709408139455
29,LA,21.9,667,2385969,27.955099165160988,0.19279378734593786
31,AL,20.4,711,2536133,28.03480732280208,0.19882842072909276
28,KY,22.1,657,2269036,28.95502759762296,0.2010765805390483
22,CT,16.7,440,1826990,24.08332831597327,0.21125726592959007
24,OK,21.4,539,1999160,26.96132375597751,0.23242520479290957
25,OR,19.6,573,2126006,26.95194651379159,0.2495550603128851
32,SC,20.7,751,2659704,28.236224782908174,0.2566929525718925
19,KS,20.8,411,1462080,28.110636900853578,0.2578957513839778
15,UT,19.1,285,1589845,17.926275831920723,0.2800980598737613
21,MS,21.9,433,1534587,28.216060738166032,0.2850107145269296
17,AR,18.2,375,1538076,24.381109906142477,0.29374831212219854
13,NE,22.3,276,967601,28.524154067637383,0.306711334060617
1,ND,14.7,67,372678,17.97798635819662,0.3745413824624296
23,NV,23.7,440,1541266,28.547959923854805,0.41373854962108414
12,ID,18.5,202,891995,22.645866849029424,0.462160547939376
14,WV,20.8,284,906103,31.343015087688705,0.489734610745136
5,SD,18.0,107,439553,24.342912003785663,0.507144000078868
9,ME,17.7,192,686674,27.960866437348724,0.5825180507780984
2,AK,18.4,68,350790,19.384817127056074,0.587418700819881
16,NM,20.9,288,1060654,27.153058396046216,0.5902838781749178
8,MT,20.7,156,531486,29.351666836003204,0.6245035497021958
11,NH,19.7,201,686814,29.265565349570622,0.6651264852175142
0,WY,17.4,62,284406,21.799821382108675,0.7266607127369559
10,HI,19.5,193,706419,27.320895955516487,0.7384025933923375
7,RI,18.2,142,543197,26.14152876396593,0.7688684930578215
6,DE,20.4,141,504571,27.94453109671384,0.9314843698904612
3,VT,15.9,79,315738,25.02074504810951,1.6680496698739673
4,DC,24.3,97,372393,26.047750629039754,1.7365167086026503
